Ticker,Volume,Short Float,Short Ratio
SFIX,"2,242,010",15.10%,8.26
PRKS,"1,287,900",15.18%,6.88
BBNX,"1,124,326",15.58%,5.24
WBI,"1,650,916",15.79%,4.26
COHU,"1,956,995",15.89%,5.59
MRNA,"13,016,473",15.91%,8.84
RXT,"82,112,743",15.93%,0.78
ETSY,"3,955,602",16.11%,5.05
H,"953,657",16.28%,7.58
SYRE,"1,337,022",16.31%,10.84
MBX,"1,144,584",16.34%,7.58
OFRM,"549,668",16.52%,7.87
OSS,"2,809,089",16.71%,2.02
FA,"2,831,699",16.85%,10.26
GIII,"656,206",17.03%,11.15
DIN,"584,293",17.55%,5.08
PRCH,"2,917,987",17.69%,9.11
HNGE,"2,313,590",17.74%,3.04
RNAC,"368,087",17.88%,9.33
AMPG,"5,577,708",18.49%,1.20
ELF,"6,161,703",18.70%,3.29
CAKE,"1,720,508",19.74%,7.37
PK,"4,571,685",21.26%,8.74
VIVO,"3,166,574",21.59%,2.50
BRUN,"1,311,014",24.32%,2.37
UHAL,"293,994",24.56%,7.51
TWST,"2,480,265",24.98%,10.09
SPHR,"919,890",26.61%,9.26
CERT,"7,110,886",26.76%,7.25
XPOF,"640,232",27.32%,15.06
GRND,"3,058,276",29.58%,5.75
SEZL,"906,126",30.96%,7.40
TRIP,"4,794,738",33.04%,8.31
WYFI,"4,977,638",35.41%,2.58
